Year;Month;Anomaly Monthly TAVG;Unc. Monthly TAVG;Anomaly Annual TAVG;Unc. Annual TAVG;Anomaly Five-year TAVG;Unc. Five-year TAVG;Anomaly Ten-year TAVG;Unc. Ten-year TAVG;Anomaly Twenty-year TAVG;Unc. Twenty-year TAVG
1750;1;-0.692;3.664;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;2;-1.149;3.490;-1.022;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;3;0.160;NaN;-1.037;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;4;-0.278;1.838;-1.064;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;5;-1.713;1.828;-1.376;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;6;-1.217;3.597;-1.365;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;7;-0.370;2.940;-1.446;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;8;0.014;2.710;-1.602;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;9;-1.124;NaN;-1.608;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;10;-2.259;1.639;-1.709;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;11;-4.601;NaN;-1.657;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1750;12;-3.146;4.145;-1.688;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;1;-1.663;3.194;-1.595;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;2;-3.012;4.884;-1.632;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;3;0.085;2.458;-1.657;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;4;-1.492;2.669;-1.690;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;5;-1.088;1.344;-1.567;1.493;NaN;NaN;NaN;NaN;NaN;NaN
1751;6;-1.595;1.800;-1.480;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;7;0.755;1.776;-1.618;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;8;-0.436;2.739;-1.204;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;9;-1.428;1.668;-1.202;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;10;-2.651;4.395;-1.219;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;11;-3.129;3.582;-1.156;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1751;12;-2.095;NaN;-1.006;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;1;-3.318;4.082;-1.008;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;2;1.958;NaN;-1.058;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;3;0.103;2.795;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;4;-1.692;1.757;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;5;-0.338;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;6;0.204;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;7;0.732;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;8;-1.030;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;10;-1.443;1.796;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;11;-0.156;2.350;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1752;12;-1.213;3.487;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1753;1;-0.901;3.474;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1753;2;-1.478;4.324;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1753;3;0.662;3.063;-0.837;1.101;NaN;NaN;NaN;NaN;NaN;NaN
1753;4;-1.082;2.280;-0.776;1.113;NaN;NaN;NaN;NaN;NaN;NaN
1753;5;-0.311;2.407;-0.881;1.145;NaN;NaN;NaN;NaN;NaN;NaN
1753;6;-0.628;3.174;-1.131;1.051;NaN;NaN;NaN;NaN;NaN;NaN
1753;7;-0.465;1.884;-1.114;1.012;NaN;NaN;NaN;NaN;NaN;NaN
1753;8;-1.415;1.880;-1.233;0.979;NaN;NaN;NaN;NaN;NaN;NaN
1753;9;-1.605;2.492;-1.417;0.971;NaN;NaN;NaN;NaN;NaN;NaN
1753;10;-0.708;1.504;-1.079;1.143;NaN;NaN;NaN;NaN;NaN;NaN
1753;11;-1.422;2.240;-1.009;1.243;NaN;NaN;NaN;NaN;NaN;NaN
1753;12;-4.209;2.820;-0.977;1.230;NaN;NaN;NaN;NaN;NaN;NaN
1754;1;-0.697;3.828;-0.945;1.286;NaN;NaN;NaN;NaN;NaN;NaN
1754;2;-2.902;4.919;-0.975;1.252;NaN;NaN;NaN;NaN;NaN;NaN
1754;3;-1.546;3.084;-1.003;1.170;NaN;NaN;NaN;NaN;NaN;NaN
1754;4;2.967;2.078;-0.946;1.229;NaN;NaN;NaN;NaN;NaN;NaN
1754;5;0.526;3.736;-0.869;1.216;NaN;NaN;NaN;NaN;NaN;NaN
1754;6;-0.243;3.494;-0.554;1.221;NaN;NaN;NaN;NaN;NaN;NaN
1754;7;-0.074;2.081;-0.578;1.432;NaN;NaN;NaN;NaN;NaN;NaN
1754;8;-1.772;1.827;-0.540;1.600;NaN;NaN;NaN;NaN;NaN;NaN
1754;9;-1.945;1.711;-0.570;1.631;NaN;NaN;NaN;NaN;NaN;NaN
1754;10;-0.026;1.846;-0.823;1.360;NaN;NaN;NaN;NaN;NaN;NaN
1754;11;-0.497;2.426;-0.870;1.266;NaN;NaN;NaN;NaN;NaN;NaN
1754;12;-0.423;2.565;-0.815;1.388;NaN;NaN;NaN;NaN;NaN;NaN
1755;1;-0.996;3.910;-0.768;1.316;NaN;NaN;NaN;NaN;NaN;NaN
1755;2;-2.436;4.094;-0.737;1.354;NaN;NaN;NaN;NaN;NaN;NaN
1755;3;-1.912;3.552;-0.704;1.480;-0.555;1.041;NaN;NaN;NaN;NaN
1755;4;-0.072;2.669;-0.550;1.490;-0.594;1.002;NaN;NaN;NaN;NaN
1755;5;-0.032;2.534;-0.624;1.644;-0.629;1.016;NaN;NaN;NaN;NaN
1755;6;0.412;5.530;-0.779;1.461;-0.662;0.962;NaN;NaN;NaN;NaN
1755;7;0.492;1.985;-0.654;1.419;-0.724;0.915;NaN;NaN;NaN;NaN
1755;8;-1.402;1.629;-0.236;1.727;-0.750;0.963;NaN;NaN;NaN;NaN
1755;9;-1.546;1.980;-0.130;1.514;-0.791;0.970;NaN;NaN;NaN;NaN
1755;10;1.827;3.099;-0.045;1.449;-0.799;0.960;NaN;NaN;NaN;NaN
1755;11;-1.387;2.915;0.021;1.354;-0.840;0.937;NaN;NaN;NaN;NaN
1755;12;-2.285;3.603;-0.014;1.255;-0.849;0.926;NaN;NaN;NaN;NaN
1756;1;0.507;2.774;-0.091;1.266;-0.866;0.931;NaN;NaN;NaN;NaN
1756;2;2.583;3.828;-0.095;1.276;-0.896;0.914;NaN;NaN;NaN;NaN
1756;3;-0.647;4.011;-0.044;1.235;-0.913;0.897;NaN;NaN;NaN;NaN
1756;4;0.955;2.083;-0.309;1.235;-0.957;0.887;NaN;NaN;NaN;NaN
1756;5;0.750;2.180;-0.391;1.224;-0.952;0.869;NaN;NaN;NaN;NaN
1756;6;-0.001;3.914;-0.467;1.214;-0.915;0.878;NaN;NaN;NaN;NaN
1756;7;-0.434;1.800;-0.738;1.185;-0.883;0.918;NaN;NaN;NaN;NaN
1756;8;-1.453;1.983;-0.869;1.195;-0.818;0.955;NaN;NaN;NaN;NaN
1756;9;-0.929;2.005;-0.894;1.265;-0.808;0.963;NaN;NaN;NaN;NaN
1756;10;-1.351;2.101;-0.991;1.421;-0.896;0.944;NaN;NaN;NaN;NaN
1756;11;-2.375;2.221;-1.023;1.648;-0.943;0.939;NaN;NaN;NaN;NaN
1756;12;-3.193;4.432;-0.855;1.684;-0.946;0.908;NaN;NaN;NaN;NaN
1757;1;-2.746;3.115;-0.670;2.008;-0.987;0.896;NaN;NaN;NaN;NaN
1757;2;1.011;3.935;-0.363;1.928;-0.966;0.877;NaN;NaN;NaN;NaN
1757;3;-0.948;3.371;-0.185;1.905;-0.952;0.881;NaN;NaN;NaN;NaN
1757;4;-0.209;3.993;-0.391;1.679;-0.985;0.869;NaN;NaN;NaN;NaN
1757;5;0.358;4.006;-0.382;1.624;-1.026;0.870;NaN;NaN;NaN;NaN
1757;6;2.023;4.435;-0.379;1.485;-1.104;0.861;NaN;NaN;NaN;NaN
1757;7;1.781;5.297;-0.538;1.241;-1.165;0.883;NaN;NaN;NaN;NaN
1757;8;2.229;2.333;-0.873;1.143;-1.132;0.896;NaN;NaN;NaN;NaN
1757;9;1.210;2.188;-0.945;1.094;-1.158;0.853;-1.136;0.699;NaN;NaN
1757;10;-3.821;3.455;-1.056;1.025;-1.191;0.819;-1.150;0.689;NaN;NaN
1757;11;-2.264;1.976;-1.316;1.049;-1.221;0.802;-1.150;0.692;NaN;NaN
1757;12;-3.157;4.118;-1.586;1.080;-1.265;0.773;-1.158;0.681;NaN;NaN
1758;1;-4.661;5.063;-1.856;1.127;-1.319;0.807;-1.174;0.704;NaN;NaN
1758;2;-3.003;3.413;-2.308;1.077;-1.329;0.812;-1.185;0.721;NaN;NaN
1758;3;-1.810;3.459;-2.629;1.044;-1.345;0.809;-1.225;0.716;NaN;NaN
1758;4;-1.551;3.397;-2.588;0.947;-1.422;0.829;-1.231;0.719;NaN;NaN
1758;5;-2.764;1.855;-2.493;1.073;-1.422;0.836;-1.244;0.718;NaN;NaN
1758;6;-1.210;2.467;-2.395;1.053;-1.439;0.808;-1.258;0.706;NaN;NaN
1758;7;-1.464;2.946;-1.908;1.092;-1.494;0.841;-1.241;0.704;NaN;NaN
1758;8;-3.198;1.263;-1.572;1.130;-1.561;0.826;-1.241;0.705;NaN;NaN
1758;9;-2.636;1.683;-1.500;1.245;-1.546;0.810;-1.241;0.693;NaN;NaN
1758;10;-3.325;2.028;-1.565;1.183;-1.585;0.815;-1.260;0.684;NaN;NaN
1758;11;-1.131;3.426;-1.527;1.139;-1.583;0.798;-1.268;0.682;NaN;NaN
1758;12;-1.973;2.951;-1.460;1.169;-1.545;0.786;-1.244;0.692;NaN;NaN
1759;1;1.180;3.204;-1.550;1.268;-1.483;0.787;-1.257;0.703;NaN;NaN
1759;2;1.023;4.470;-1.327;1.042;-1.471;0.788;-1.216;0.722;NaN;NaN
1759;3;-0.947;2.456;-1.195;1.029;-1.466;0.793;-1.210;0.732;NaN;NaN
1759;4;-2.329;2.453;-1.088;1.080;-1.499;0.812;-1.245;0.749;NaN;NaN
1759;5;-2.303;1.527;-1.241;1.057;-1.482;0.818;-1.263;0.772;NaN;NaN
1759;6;-0.407;1.170;-1.501;1.212;-1.531;0.811;-1.283;0.768;NaN;NaN
1759;7;-2.544;1.886;-1.987;1.284;-1.443;0.803;-1.297;0.775;NaN;NaN
1759;8;-0.518;4.680;-2.113;1.107;-1.448;0.809;-1.295;0.767;NaN;NaN
1759;9;-1.060;2.240;-2.322;1.145;-1.466;0.802;-1.291;0.752;NaN;NaN
1759;10;-2.040;2.408;-2.299;1.221;-1.467;0.811;-1.285;0.754;NaN;NaN
1759;11;-2.968;2.629;-2.260;1.249;-1.498;0.827;-1.286;0.757;NaN;NaN
1759;12;-5.092;3.480;-2.410;1.272;-1.555;0.855;-1.270;0.755;NaN;NaN
1760;1;-4.644;3.130;-2.430;1.606;-1.611;0.886;-1.250;0.749;NaN;NaN
1760;2;-0.488;3.257;-2.553;1.800;-1.657;0.886;-1.231;0.772;NaN;NaN
