Year;Month;Anomaly Monthly TMAX;Unc. Monthly TMAX;Anomaly Annual TMAX;Unc. Annual TMAX;Anomaly Five-year TMAX;Unc. Five-year TMAX;Anomaly Ten-year TMAX;Unc. Ten-year TMAX;Anomaly Twenty-year TMAX;Unc. Twenty-year TMAX
1850;1;-1.267;2.541;-0.696;0.984;-0.787;0.877;-0.635;0.463;-0.456;0.523
1850;2;0.822;2.784;-0.657;0.975;-0.784;0.886;-0.638;0.511;-0.460;0.527
1850;3;-1.395;1.771;-0.690;0.975;-0.773;0.876;-0.638;0.544;-0.464;0.534
1850;4;-0.871;2.385;-0.713;0.928;-0.762;0.869;-0.635;0.541;-0.469;0.536
1850;5;-0.672;2.057;-0.827;0.894;-0.792;0.862;-0.623;0.547;-0.466;0.543
1850;6;-0.380;1.188;-0.704;0.900;-0.797;0.874;-0.624;0.546;-0.464;0.535
1850;7;-0.612;1.401;-0.545;0.923;-0.772;0.902;-0.622;0.551;-0.463;0.537
1850;8;-0.348;1.823;-0.562;1.033;-0.795;0.940;-0.623;0.567;-0.461;0.539
1850;9;-1.678;1.883;-0.496;1.062;-0.801;0.950;-0.621;0.562;-0.458;0.535
1850;10;-1.256;1.985;-0.391;1.039;-0.806;0.985;-0.618;0.576;-0.456;0.542
1850;11;-0.563;1.551;-0.456;1.081;-0.802;1.020;-0.624;0.584;-0.456;0.540
1850;12;-0.267;3.216;-0.537;1.268;-0.792;1.034;-0.621;0.603;-0.451;0.548
1851;1;0.644;2.351;-0.643;1.405;-0.764;1.030;-0.631;0.621;-0.452;0.561
1851;2;0.618;2.469;-0.794;1.330;-0.754;1.045;-0.631;0.631;-0.448;0.568
1851;3;-0.596;1.797;-0.683;1.292;-0.725;1.038;-0.644;0.647;-0.450;0.564
1851;4;0.383;1.619;-0.573;1.241;-0.710;1.029;-0.647;0.658;-0.453;0.558
1851;5;-1.455;2.477;-0.636;1.298;-0.686;1.032;-0.651;0.673;-0.466;0.547
1851;6;-1.350;2.507;-0.672;1.269;-0.698;1.024;-0.656;0.688;-0.470;0.555
1851;7;-1.882;3.214;-0.819;1.387;-0.682;1.016;-0.667;0.707;-0.470;0.559
1851;8;-2.162;1.739;-0.891;1.518;-0.688;1.010;-0.681;0.720;-0.469;0.559
1851;9;-0.345;1.572;-0.876;1.589;-0.692;1.025;-0.682;0.737;-0.468;0.563
1851;10;0.064;1.899;-1.149;1.606;-0.671;1.010;-0.678;0.738;-0.461;0.552
1851;11;-1.321;1.733;-1.045;1.589;-0.646;0.983;-0.692;0.752;-0.456;0.551
1851;12;-0.693;2.894;-0.931;1.465;-0.630;0.969;-0.693;0.760;-0.461;0.543
1852;1;-1.126;2.253;-0.840;1.412;-0.589;0.960;-0.710;0.773;-0.475;0.555
1852;2;-0.249;3.642;-0.719;1.444;-0.566;0.927;-0.689;0.775;-0.486;0.569
1852;3;-0.408;2.575;-0.758;1.398;-0.558;0.904;-0.681;0.780;-0.498;0.579
1852;4;-2.901;1.787;-0.831;1.431;-0.538;0.869;-0.670;0.785;-0.505;0.585
1852;5;-0.204;2.426;-0.869;1.384;-0.567;0.876;-0.681;0.796;-0.504;0.581
1852;6;0.022;1.107;-0.840;1.304;-0.544;0.859;-0.678;0.799;-0.502;0.576
1852;7;-0.798;2.463;-0.714;1.272;-0.522;0.868;-0.676;0.803;-0.498;0.583
1852;8;-0.707;1.257;-0.746;1.146;-0.562;0.925;-0.670;0.805;-0.509;0.573
1852;9;-0.808;1.290;-0.790;1.122;-0.548;0.939;-0.661;0.799;-0.505;0.573
1852;10;-0.809;1.492;-0.597;1.154;-0.534;0.923;-0.650;0.796;-0.499;0.572
1852;11;-1.778;2.095;-0.612;1.141;-0.525;0.903;-0.657;0.807;-0.491;0.579
1852;12;-0.353;1.802;-0.619;1.117;-0.535;0.922;-0.650;0.820;-0.496;0.568
1853;1;0.384;1.485;-0.582;1.030;-0.527;0.916;-0.631;0.838;-0.505;0.571
1853;2;-0.630;1.862;-0.534;0.979;-0.529;0.901;-0.641;0.859;-0.503;0.555
1853;3;-0.929;2.311;-0.463;0.972;-0.515;0.881;-0.638;0.859;-0.494;0.548
1853;4;-0.593;1.919;-0.410;0.942;-0.506;0.871;-0.639;0.871;-0.492;0.550
1853;5;-0.384;1.803;-0.256;0.934;-0.502;0.869;-0.638;0.886;-0.489;0.555
1853;6;-0.063;0.770;-0.272;0.900;-0.520;0.839;-0.634;0.901;-0.483;0.554
1853;7;-0.345;1.073;-0.327;0.971;-0.544;0.857;-0.619;0.903;-0.489;0.556
1853;8;-0.141;0.648;-0.324;0.966;-0.568;0.860;-0.613;0.921;-0.498;0.548
1853;9;0.045;1.218;-0.271;0.939;-0.570;0.873;-0.599;0.918;-0.506;0.551
1853;10;-0.172;0.979;-0.307;0.891;-0.580;0.873;-0.586;0.914;-0.500;0.546
1853;11;0.079;1.215;-0.290;0.831;-0.569;0.851;-0.586;0.922;-0.498;0.542
1853;12;-0.550;1.030;-0.285;0.814;-0.559;0.832;-0.593;0.923;-0.508;0.534
1854;1;-0.280;1.737;-0.183;0.713;-0.547;0.809;-0.583;0.916;-0.509;0.536
1854;2;-0.586;1.840;-0.124;0.687;-0.529;0.821;-0.576;0.904;-0.509;0.553
1854;3;-0.297;1.873;-0.194;0.681;-0.527;0.828;-0.579;0.904;-0.508;0.563
1854;4;-1.027;1.403;-0.163;0.662;-0.534;0.832;-0.558;0.899;-0.526;0.575
1854;5;-0.178;1.156;-0.248;0.673;-0.542;0.831;-0.540;0.884;-0.533;0.576
1854;6;-0.008;0.700;-0.232;0.742;-0.553;0.828;-0.536;0.888;-0.530;0.575
1854;7;0.887;1.081;-0.204;0.635;-0.564;0.835;-0.529;0.899;-0.528;0.584
1854;8;0.563;0.870;-0.289;0.716;-0.544;0.814;-0.524;0.889;-0.528;0.583
1854;9;-0.794;1.532;-0.308;0.688;-0.550;0.810;-0.519;0.887;-0.533;0.582
1854;10;0.201;1.005;-0.226;0.650;-0.515;0.818;-0.513;0.879;-0.532;0.573
1854;11;-0.938;1.443;-0.221;0.596;-0.538;0.820;-0.522;0.882;-0.530;0.575
1854;12;-0.366;1.765;-0.301;0.631;-0.566;0.833;-0.517;0.878;-0.526;0.585
1855;1;0.067;1.416;-0.385;0.694;-0.566;0.800;-0.502;0.890;-0.537;0.584
1855;2;-1.608;2.993;-0.475;0.751;-0.555;0.796;-0.513;0.907;-0.533;0.600
1855;3;-0.531;1.456;-0.477;0.758;-0.549;0.795;-0.501;0.906;-0.530;0.617
1855;4;-0.046;1.051;-0.552;0.812;-0.537;0.797;-0.498;0.905;-0.529;0.617
1855;5;-0.112;0.811;-0.504;0.737;-0.521;0.824;-0.495;0.894;-0.524;0.621
1855;6;-0.966;1.050;-0.583;0.701;-0.503;0.836;-0.490;0.900;-0.520;0.618
1855;7;-0.127;0.808;-0.654;0.778;-0.491;0.846;-0.492;0.904;-0.521;0.622
1855;8;-0.519;0.842;-0.588;0.637;-0.487;0.846;-0.491;0.899;-0.521;0.630
1855;9;-0.819;0.986;-0.607;0.655;-0.475;0.829;-0.481;0.897;-0.517;0.628
1855;10;-0.699;1.277;-0.619;0.708;-0.471;0.813;-0.478;0.893;-0.511;0.633
1855;11;-0.358;0.926;-0.678;0.755;-0.475;0.805;-0.475;0.895;-0.509;0.637
1855;12;-1.315;1.372;-0.661;0.763;-0.476;0.817;-0.482;0.883;-0.505;0.644
1856;1;-0.788;1.391;-0.744;0.817;-0.474;0.823;-0.494;0.892;-0.505;0.651
1856;2;-0.813;1.534;-0.794;0.867;-0.472;0.842;-0.500;0.889;-0.501;0.654
1856;3;-0.758;1.698;-0.741;0.948;-0.472;0.843;-0.502;0.888;-0.508;0.659
1856;4;-0.190;1.462;-0.712;0.952;-0.461;0.843;-0.512;0.883;-0.508;0.661
1856;5;-0.822;1.045;-0.833;1.000;-0.487;0.853;-0.512;0.873;-0.508;0.667
1856;6;-0.760;1.190;-0.837;1.031;-0.488;0.864;-0.497;0.860;-0.508;0.671
1856;7;-1.127;1.727;-0.918;1.070;-0.484;0.855;-0.483;0.845;-0.507;0.677
1856;8;-1.113;1.435;-0.773;1.080;-0.465;0.835;-0.466;0.849;-0.513;0.679
1856;9;-0.183;1.514;-0.776;1.072;-0.466;0.817;-0.460;0.849;-0.513;0.683
1856;10;-0.351;1.284;-0.825;1.117;-0.446;0.819;-0.455;0.852;-0.511;0.682
1856;11;-1.812;1.328;-0.890;1.210;-0.433;0.815;-0.445;0.851;-0.512;0.686
1856;12;-1.363;1.658;-0.965;1.236;-0.443;0.836;-0.438;0.842;-0.509;0.685
1857;1;-1.763;1.937;-0.934;1.138;-0.470;0.865;-0.442;0.835;-0.513;0.687
1857;2;0.925;1.657;-0.847;1.094;-0.482;0.877;-0.452;0.818;-0.506;0.686
1857;3;-0.788;1.525;-0.870;1.042;-0.481;0.893;-0.452;0.810;-0.502;0.686
1857;4;-0.780;1.978;-0.846;1.066;-0.487;0.913;-0.433;0.806;-0.495;0.684
1857;5;-1.604;2.029;-0.763;1.179;-0.476;0.912;-0.428;0.798;-0.497;0.685
1857;6;-1.661;1.658;-0.592;1.194;-0.490;0.918;-0.433;0.797;-0.486;0.682
1857;7;-0.746;1.045;-0.351;1.152;-0.481;0.935;-0.426;0.786;-0.483;0.685
1857;8;-0.073;0.860;-0.462;1.163;-0.464;0.910;-0.426;0.785;-0.479;0.685
1857;9;-0.460;0.974;-0.414;1.118;-0.454;0.894;-0.423;0.785;-0.474;0.681
1857;10;-0.065;1.291;-0.376;1.057;-0.462;0.905;-0.411;0.778;-0.465;0.677
1857;11;-0.816;2.285;-0.296;1.018;-0.465;0.904;-0.399;0.785;-0.467;0.676
1857;12;0.694;1.892;-0.168;0.991;-0.446;0.896;-0.399;0.783;-0.473;0.677
1858;1;1.123;1.674;-0.125;1.084;-0.457;0.908;-0.397;0.783;-0.472;0.683
1858;2;-0.405;1.691;-0.122;1.160;-0.452;0.914;-0.391;0.778;-0.477;0.691
1858;3;-0.203;1.170;-0.078;1.191;-0.447;0.930;-0.388;0.769;-0.474;0.690
1858;4;-0.330;1.072;-0.033;1.145;-0.449;0.932;-0.383;0.761;-0.476;0.695
1858;5;-0.638;1.414;-0.086;1.121;-0.449;0.938;-0.383;0.755;-0.474;0.700
1858;6;-0.127;1.394;-0.194;1.063;-0.443;0.946;-0.386;0.758;-0.472;0.703
