Year;Month;Anomaly Monthly TMIN;Unc. Monthly TMIN;Anomaly Annual TMIN;Unc. Annual TMIN;Anomaly Five-year TMIN;Unc. Five-year TMIN;Anomaly Ten-year TMIN;Unc. Ten-year TMIN;Anomaly Twenty-year TMIN;Unc. Twenty-year TMIN
1850;1;-1.351;4.892;-0.829;0.626;-0.756;0.476;-0.868;0.467;-0.868;0.505
1850;2;-0.486;2.279;-0.808;0.624;-0.760;0.475;-0.880;0.475;-0.881;0.503
1850;3;-1.574;1.760;-0.857;0.629;-0.776;0.481;-0.875;0.490;-0.880;0.511
1850;4;-1.242;1.585;-0.898;0.644;-0.776;0.477;-0.872;0.498;-0.884;0.513
1850;5;-1.126;1.810;-1.027;0.655;-0.815;0.492;-0.861;0.498;-0.887;0.515
1850;6;-0.462;1.110;-0.973;0.675;-0.834;0.500;-0.860;0.493;-0.886;0.512
1850;7;-0.379;0.850;-0.863;0.827;-0.816;0.503;-0.855;0.484;-0.887;0.512
1850;8;-0.533;1.203;-0.820;0.698;-0.851;0.516;-0.854;0.483;-0.890;0.510
1850;9;-1.591;1.970;-0.764;0.606;-0.883;0.521;-0.851;0.470;-0.888;0.504
1850;10;-1.187;2.631;-0.668;0.552;-0.905;0.524;-0.850;0.466;-0.884;0.500
1850;11;-1.151;1.082;-0.662;0.481;-0.919;0.520;-0.863;0.463;-0.888;0.494
1850;12;-0.591;1.679;-0.705;0.482;-0.923;0.507;-0.860;0.457;-0.881;0.494
1851;1;-0.035;1.848;-0.761;0.535;-0.917;0.495;-0.870;0.465;-0.883;0.500
1851;2;0.033;3.532;-0.839;0.569;-0.927;0.495;-0.862;0.468;-0.880;0.501
1851;3;-0.908;2.274;-0.687;0.519;-0.918;0.487;-0.890;0.477;-0.880;0.498
1851;4;-0.085;1.050;-0.601;0.494;-0.936;0.497;-0.902;0.480;-0.884;0.493
1851;5;-1.050;0.702;-0.596;0.511;-0.923;0.497;-0.912;0.481;-0.894;0.484
1851;6;-0.981;1.203;-0.590;0.612;-0.951;0.513;-0.921;0.481;-0.899;0.485
1851;7;-1.060;1.622;-0.653;0.702;-0.941;0.521;-0.933;0.477;-0.896;0.479
1851;8;-1.466;1.274;-0.684;0.854;-0.963;0.521;-0.956;0.484;-0.897;0.476
1851;9;0.231;2.232;-0.721;0.965;-0.971;0.525;-0.975;0.493;-0.902;0.478
