Year;Month;Anomaly Monthly TWAT;Unc. Monthly TWAT;Anomaly Annual TWAT;Unc. Annual TWAT;Anomaly Five-year TWAT;Unc. Five-year TWAT;Anomaly Ten-year TWAT;Unc. Ten-year TWAT;Anomaly Twenty-year TWAT;Unc. Twenty-year TWAT
1850;1;-0.728;0.324;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;2;-0.219;0.469;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;3;-0.404;0.285;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;4;-0.549;0.333;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;5;-0.581;0.240;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1850;6;-0.357;0.258;-0.431;0.176;NaN;NaN;NaN;NaN;NaN;NaN
1850;7;-0.208;0.227;-0.389;0.172;NaN;NaN;NaN;NaN;NaN;NaN
1850;8;-0.189;0.225;-0.403;0.159;NaN;NaN;NaN;NaN;NaN;NaN
1850;9;-0.402;0.199;-0.417;0.162;NaN;NaN;NaN;NaN;NaN;NaN
1850;10;-0.565;0.260;-0.420;0.159;NaN;NaN;NaN;NaN;NaN;NaN
1850;11;-0.505;0.302;-0.400;0.163;NaN;NaN;NaN;NaN;NaN;NaN
1850;12;-0.469;0.266;-0.393;0.160;NaN;NaN;NaN;NaN;NaN;NaN
1851;1;-0.217;0.305;-0.397;0.158;NaN;NaN;NaN;NaN;NaN;NaN
1851;2;-0.392;0.335;-0.406;0.156;NaN;NaN;NaN;NaN;NaN;NaN
1851;3;-0.568;0.290;-0.404;0.160;NaN;NaN;NaN;NaN;NaN;NaN
1851;4;-0.586;0.265;-0.371;0.162;NaN;NaN;NaN;NaN;NaN;NaN
1851;5;-0.344;0.284;-0.356;0.167;NaN;NaN;NaN;NaN;NaN;NaN
1851;6;-0.276;0.215;-0.330;0.173;NaN;NaN;NaN;NaN;NaN;NaN
1851;7;-0.247;0.182;-0.334;0.190;NaN;NaN;NaN;NaN;NaN;NaN
1851;8;-0.306;0.191;-0.342;0.201;NaN;NaN;NaN;NaN;NaN;NaN
1851;9;-0.370;0.237;-0.357;0.203;NaN;NaN;NaN;NaN;NaN;NaN
1851;10;-0.175;0.304;-0.350;0.202;NaN;NaN;NaN;NaN;NaN;NaN
1851;11;-0.324;0.276;-0.336;0.202;NaN;NaN;NaN;NaN;NaN;NaN
1851;12;-0.157;0.265;-0.322;0.208;NaN;NaN;NaN;NaN;NaN;NaN
1852;1;-0.256;0.478;-0.306;0.209;NaN;NaN;NaN;NaN;NaN;NaN
1852;2;-0.496;0.371;-0.306;0.207;NaN;NaN;NaN;NaN;NaN;NaN
1852;3;-0.748;0.306;-0.298;0.206;NaN;NaN;NaN;NaN;NaN;NaN
1852;4;-0.496;0.288;-0.298;0.193;NaN;NaN;NaN;NaN;NaN;NaN
1852;5;-0.181;0.266;-0.310;0.188;NaN;NaN;NaN;NaN;NaN;NaN
1852;6;-0.111;0.242;-0.294;0.180;-0.329;0.138;NaN;NaN;NaN;NaN
1852;7;-0.049;0.185;-0.301;0.171;-0.318;0.140;NaN;NaN;NaN;NaN
1852;8;-0.305;0.226;-0.288;0.167;-0.317;0.135;NaN;NaN;NaN;NaN
1852;9;-0.279;0.199;-0.257;0.164;-0.314;0.134;NaN;NaN;NaN;NaN
1852;10;-0.176;0.174;-0.235;0.163;-0.306;0.131;NaN;NaN;NaN;NaN
1852;11;-0.470;0.241;-0.242;0.159;-0.300;0.131;NaN;NaN;NaN;NaN
