Anomaly Monthly TAVG,Unc. Monthly TAVG,Anomaly Annual TAVG,Unc. Annual TAVG,dt,Anomaly Monthly TMAX,Unc. Monthly TMAX,Anomaly Annual TMAX,Unc. Annual TMAX,Anomaly Monthly TMIN,Unc. Monthly TMIN,Anomaly Annual TMIN,Unc. Annual TMIN,Anomaly Monthly TAIR,Unc. Monthly TAIR,Anomaly Annual TAIR,Unc. Annual TAIR,Anomaly Monthly TWAT,Unc. Monthly TWAT,Anomaly Annual TWAT,Unc. Annual TWAT
-1.846,1.048,-0.765,0.534,1850-01-01,-1.267,2.541,-0.696,0.984,-1.351,4.892,-0.829,0.626,-0.769,0.367,NaN,NaN,-0.728,0.324,NaN,NaN
-0.101,1.577,-0.724,0.529,1850-02-01,0.822,2.784,-0.657,0.975,-0.486,2.279,-0.808,0.624,-0.227,0.505,NaN,NaN,-0.219,0.469,NaN,NaN
-0.484,0.905,-0.693,0.513,1850-03-01,-1.395,1.771,-0.69,0.975,-1.574,1.76,-0.857,0.629,-0.374,0.308,NaN,NaN,-0.404,0.285,NaN,NaN
-1.103,1.098,-0.764,0.528,1850-04-01,-0.871,2.385,-0.713,0.928,-1.242,1.585,-0.898,0.644,-0.591,0.384,NaN,NaN,-0.549,0.333,NaN,NaN
-1.317,0.762,-0.865,0.508,1850-05-01,-0.672,2.057,-0.827,0.894,-1.126,1.81,-1.027,0.655,-0.623,0.277,NaN,NaN,-0.581,0.24,NaN,NaN
-0.485,0.836,-0.818,0.521,1850-06-01,-0.38,1.188,-0.704,0.9,-0.462,1.11,-0.973,0.675,-0.359,0.311,-0.452,0.194,-0.357,0.258,-0.431,0.176
0.03,0.717,-0.669,0.506,1850-07-01,-0.612,1.401,-0.545,0.923,-0.379,0.85,-0.863,0.827,-0.184,0.276,-0.402,0.188,-0.208,0.227,-0.389,0.172
0.031,0.715,-0.717,0.457,1850-08-01,-0.348,1.823,-0.562,1.033,-0.533,1.203,-0.82,0.698,-0.168,0.28,-0.419,0.174,-0.189,0.225,-0.403,0.159
-0.713,0.615,-0.774,0.468,1850-09-01,-1.678,1.883,-0.496,1.062,-1.591,1.97,-0.764,0.606,-0.429,0.249,-0.434,0.177,-0.402,0.199,-0.417,0.162
-1.264,0.841,-0.769,0.456,1850-10-01,-1.256,1.985,-0.391,1.039,-1.187,2.631,-0.668,0.552,-0.607,0.319,-0.437,0.174,-0.565,0.26,-0.42,0.159
-1.431,0.993,-0.685,0.475,1850-11-01,-0.563,1.551,-0.456,1.081,-1.151,1.082,-0.662,0.481,-0.589,0.36,-0.412,0.18,-0.505,0.302,-0.4,0.163
-1.123,0.859,-0.669,0.461,1850-12-01,-0.267,3.216,-0.537,1.268,-0.591,1.679,-0.705,0.482,-0.501,0.306,-0.404,0.175,-0.469,0.266,-0.393,0.16
-0.063,1.001,-0.672,0.45,1851-01-01,0.644,2.351,-0.643,1.405,-0.035,1.848,-0.761,0.535,-0.177,0.347,-0.407,0.172,-0.217,0.305,-0.397,0.158
-0.668,1.11,-0.703,0.441,1851-02-01,0.618,2.469,-0.794,1.33,0.033,3.532,-0.839,0.569,-0.421,0.373,-0.42,0.17,-0.392,0.335,-0.406,0.156
